epoch,acc,loss,val_acc,val_loss
0,0.5508517026901245,0.6872926950454712,0.6743487119674683,0.6239244341850281
1,0.6559368968009949,0.6256002187728882,0.7094188332557678,0.5713015198707581
2,0.6898797750473022,0.5869952440261841,0.703406810760498,0.5475185513496399
3,0.7193136215209961,0.5462468862533569,0.6503006219863892,0.7134398818016052
4,0.749373733997345,0.5155546069145203,0.7695390582084656,0.4868656098842621
5,0.7700400948524475,0.4841323494911194,0.8096192479133606,0.4353601634502411
6,0.7868236303329468,0.44981634616851807,0.7955911755561829,0.42238691449165344
7,0.8033567070960999,0.4286060929298401,0.8226453065872192,0.39134109020233154
8,0.8081162571907043,0.4161997139453888,0.8476954102516174,0.3559556305408478
9,0.8281562924385071,0.38728371262550354,0.8416833877563477,0.3460574150085449
10,0.8380510807037354,0.35976442694664,0.8537074327468872,0.33482012152671814
11,0.8454408645629883,0.3552223742008209,0.8707414865493774,0.3283030688762665
12,0.8475701212882996,0.34179139137268066,0.8667334914207458,0.31545761227607727
13,0.8599699139595032,0.3237992525100708,0.8687374591827393,0.3096323609352112
14,0.8636022210121155,0.3184713125228882,0.8697394728660583,0.30742818117141724
15,0.8692384958267212,0.3002086579799652,0.8767535090446472,0.29594993591308594
16,0.8736222386360168,0.2942151427268982,0.8707414865493774,0.29725033044815063
17,0.8850200176239014,0.2802688777446747,0.8777555227279663,0.28111162781715393
18,0.8871492743492126,0.26990747451782227,0.8847695589065552,0.2573939859867096
19,0.890531063079834,0.2645810842514038,0.8807615041732788,0.27023398876190186
20,0.8900300860404968,0.260942667722702,0.8977956175804138,0.2556876838207245
21,0.898672342300415,0.2424962967634201,0.914829671382904,0.20571884512901306
22,0.898672342300415,0.24627192318439484,0.8957915902137756,0.23429934680461884
23,0.9050601124763489,0.22935447096824646,0.913827657699585,0.21513637900352478
24,0.9071893692016602,0.22334438562393188,0.9248496890068054,0.20160122215747833
25,0.906688392162323,0.22038522362709045,0.9158316850662231,0.21688689291477203
26,0.913827657699585,0.2100028246641159,0.913827657699585,0.20731337368488312
27,0.9110721349716187,0.20941448211669922,0.9238476753234863,0.19402171671390533
28,0.9192134141921997,0.19515496492385864,0.9348697662353516,0.18558946251869202
29,0.921342670917511,0.1952686756849289,0.8997995853424072,0.22509120404720306
30,0.921718418598175,0.19113074243068695,0.9188376665115356,0.21336300671100616
31,0.9224699139595032,0.19641204178333282,0.9038076400756836,0.2143147885799408
32,0.921342670917511,0.1872822642326355,0.914829671382904,0.20516838133335114
33,0.922595202922821,0.18894892930984497,0.9028056263923645,0.2497147023677826
34,0.9279809594154358,0.18131636083126068,0.9098196625709534,0.2047182321548462
35,0.9333667159080505,0.16254927217960358,0.9128256440162659,0.21090267598628998
36,0.9327405095100403,0.16764360666275024,0.905811607837677,0.21578049659729004
37,0.9327405095100403,0.1701287180185318,0.9218437075614929,0.1861323118209839
38,0.9367485046386719,0.15790358185768127,0.9208416938781738,0.17757922410964966
39,0.9393787384033203,0.15402601659297943,0.9348697662353516,0.1748543232679367
40,0.9380009770393372,0.1545838862657547,0.9048095941543579,0.2065919041633606
41,0.945641279220581,0.13752108812332153,0.9378757476806641,0.1554473489522934
42,0.9512775540351868,0.12965494394302368,0.9338677525520325,0.15478713810443878
43,0.9453907608985901,0.13837586343288422,0.9338677525520325,0.17442457377910614
44,0.9473947882652283,0.13453510403633118,0.9358717203140259,0.15457895398139954
45,0.9480210542678833,0.13077588379383087,0.9348697662353516,0.17937259376049042
46,0.9415079951286316,0.1490972340106964,0.9338677525520325,0.18522948026657104
47,0.9486473202705383,0.12863823771476746,0.9168336391448975,0.2012569159269333
48,0.9460170269012451,0.13516806066036224,0.9418837428092957,0.14799578487873077
49,0.9501503109931946,0.1321905255317688,0.9248496890068054,0.18819034099578857
